,mouse,day,session,filepath
169,3,7,openfield,Junji/Data/2021cohort2/openfield/M3_D7_2021-10-05_15-54-20
170,3,7,vr,Junji/Data/2021cohort2/vr/M3_D7_2021-10-05_15-19-22
171,3,8,openfield,Junji/Data/2021cohort2/openfield/M3_D8_2021-10-06_15-41-08
172,3,8,vr,Junji/Data/2021cohort2/vr/M3_D8_2021-10-06_15-06-27
173,3,9,openfield,Junji/Data/2021cohort2/openfield/M3_D9_2021-10-07_15-40-32
174,3,9,vr,Junji/Data/2021cohort2/vr/M3_D9_2021-10-07_15-05-47
175,3,10,openfield,Junji/Data/2021cohort2/openfield/M3_D10_2021-10-08_15-41-14
176,3,10,vr,Junji/Data/2021cohort2/vr/M3_D10_2021-10-08_15-06-53
177,3,11,openfield,Junji/Data/2021cohort2/openfield/M3_D11_2021-10-11_15-45-23
178,3,11,vr,Junji/Data/2021cohort2/vr/M3_D11_2021-10-11_15-09-43
179,3,12,openfield,Junji/Data/2021cohort2/openfield/M3_D12_2021-10-12_15-44-36
180,3,12,vr,Junji/Data/2021cohort2/vr/M3_D12_2021-10-12_15-09-30
181,3,13,openfield,Junji/Data/2021cohort2/openfield/M3_D13_2021-10-13_16-24-54
182,3,13,vr,Junji/Data/2021cohort2/vr/M3_D13_2021-10-13_15-48-46
183,3,14,openfield,Junji/Data/2021cohort2/openfield/M3_D14_2021-10-14_16-19-10
184,3,14,vr,Junji/Data/2021cohort2/vr/M3_D14_2021-10-14_15-44-21
185,3,15,openfield,Junji/Data/2021cohort2/openfield/M3_D15_2021-10-15_16-15-24
186,3,15,vr,Junji/Data/2021cohort2/vr/M3_D15_2021-10-15_15-39-41
187,3,16,openfield,Junji/Data/2021cohort2/openfield/M3_D16_2021-10-19_16-30-20
188,3,16,vr,Junji/Data/2021cohort2/vr/M3_D16_2021-10-19_15-51-24
189,3,17,openfield,Junji/Data/2021cohort2/openfield/M3_D17_2021-10-20_16-16-26
190,3,17,vr,Junji/Data/2021cohort2/vr/M3_D17_2021-10-20_15-40-33
191,3,18,openfield,Junji/Data/2021cohort2/openfield/M3_D18_2021-10-21_16-10-23
192,3,18,vr,Junji/Data/2021cohort2/vr/M3_D18_2021-10-21_15-32-32
193,3,19,openfield,Junji/Data/2021cohort2/openfield/M3_D19_2021-10-22_15-16-42
194,3,19,vr,Junji/Data/2021cohort2/vr/M3_D19_2021-10-22_14-39-54
195,3,20,openfield,Junji/Data/2021cohort2/openfield/M3_D20_2021-10-27_15-32-47
196,3,20,vr,Junji/Data/2021cohort2/vr/M3_D20_2021-10-27_14-56-42
197,3,21,openfield,Junji/Data/2021cohort2/openfield/M3_D21_2021-10-28_16-16-17
198,3,21,vr,Junji/Data/2021cohort2/vr/M3_D21_2021-10-28_15-40-13
199,3,22,openfield,Junji/Data/2021cohort2/openfield/M3_D22_2021-10-29_15-48-42
200,3,22,vr,Junji/Data/2021cohort2/vr/M3_D22_2021-10-29_15-12-51
201,3,23,openfield,Junji/Data/2021cohort2/openfield/M3_D23_2021-11-01_15-25-49
202,3,23,vr,Junji/Data/2021cohort2/vr/M3_D23_2021-11-01_14-50-45
203,3,24,openfield,Junji/Data/2021cohort2/openfield/M3_D24_2021-11-02_16-01-32
204,3,24,vr,Junji/Data/2021cohort2/vr/M3_D24_2021-11-02_15-27-11
205,3,25,openfield,Junji/Data/2021cohort2/openfield/M3_D25_2021-11-03_15-56-47
206,3,25,vr,Junji/Data/2021cohort2/vr/M3_D25_2021-11-03_15-21-04
207,3,26,openfield,Junji/Data/2021cohort2/openfield/M3_D26_2021-11-04_15-58-22
208,3,26,vr,Junji/Data/2021cohort2/vr/M3_D26_2021-11-04_15-22-38
209,3,27,openfield,Junji/Data/2021cohort2/openfield/M3_D27_2021-11-05_16-50-17
210,3,27,vr,Junji/Data/2021cohort2/vr/M3_D27_2021-11-05_16-14-27
211,3,28,openfield,Junji/Data/2021cohort2/openfield/M3_D28_2021-11-08_15-47-53
212,3,28,vr,Junji/Data/2021cohort2/vr/M3_D28_2021-11-08_15-12-16
213,3,29,openfield,Junji/Data/2021cohort2/openfield/M3_D29_2021-11-15_15-02-12
214,3,29,vr,Junji/Data/2021cohort2/vr/M3_D29_2021-11-15_14-27-05
215,3,30,openfield,Junji/Data/2021cohort2/openfield/M3_D30_2021-11-16_15-07-19
216,3,30,vr,Junji/Data/2021cohort2/vr/M3_D30_2021-11-16_14-30-17
217,3,31,openfield,Junji/Data/2021cohort2/openfield/M3_D31_2021-11-17_16-27-48
218,3,31,vr,Junji/Data/2021cohort2/vr/M3_D31_2021-11-17_15-51-42
219,3,32,openfield,Junji/Data/2021cohort2/openfield/M3_D32_2021-11-18_15-22-52
220,3,32,vr,Junji/Data/2021cohort2/vr/M3_D32_2021-11-18_14-47-06
221,3,33,openfield,Junji/Data/2021cohort2/openfield/M3_D33_2021-11-19_15-56-15
222,3,33,vr,Junji/Data/2021cohort2/vr/M3_D33_2021-11-19_15-21-14
223,3,34,openfield,Junji/Data/2021cohort2/openfield/M3_D34_2021-11-22_16-20-12
224,3,34,vr,Junji/Data/2021cohort2/vr/M3_D34_2021-11-22_15-44-57
225,3,35,openfield,Junji/Data/2021cohort2/openfield/M3_D35_2021-11-23_17-26-18
226,3,35,vr,Junji/Data/2021cohort2/vr/M3_D35_2021-11-23_16-51-42
227,3,36,openfield,Junji/Data/2021cohort2/openfield/M3_D36_2021-11-24_16-12-23
228,3,36,vr,Junji/Data/2021cohort2/vr/M3_D36_2021-11-24_15-36-56
229,3,37,openfield,Junji/Data/2021cohort2/openfield/M3_D37_2021-11-25_15-45-57
230,3,37,vr,Junji/Data/2021cohort2/vr/M3_D37_2021-11-25_15-10-19
231,3,38,openfield,Junji/Data/2021cohort2/openfield/M3_D38_2021-11-26_15-49-49
232,3,38,vr,Junji/Data/2021cohort2/vr/M3_D38_2021-11-26_15-20-20
233,3,39,openfield,Junji/Data/2021cohort2/openfield/M3_D39_2021-11-29_14-43-57
234,3,39,vr,Junji/Data/2021cohort2/vr/M3_D39_2021-11-29_14-10-20
235,3,40,openfield,Junji/Data/2021cohort2/openfield/M3_D40_2021-11-30_15-25-11
236,3,40,vr,Junji/Data/2021cohort2/vr/M3_D40_2021-11-30_14-43-37
237,3,41,openfield,Junji/Data/2021cohort2/openfield/M3_D41_2021-12-01_14-46-23
238,3,41,vr,Junji/Data/2021cohort2/vr/M3_D41_2021-12-01_14-10-11
239,3,42,openfield,Junji/Data/2021cohort2/openfield/M3_D42_2021-12-02_16-11-15
240,3,42,vr,Junji/Data/2021cohort2/vr/M3_D42_2021-12-02_15-35-41
241,3,43,openfield,Junji/Data/2021cohort2/openfield/M3_D43_2021-12-03_16-41-04
242,3,43,vr,Junji/Data/2021cohort2/vr/M3_D43_2021-12-03_16-05-04
243,3,44,openfield,Junji/Data/2021cohort2/openfield/M3_D44_2021-12-06_16-10-29
244,3,44,vr,Junji/Data/2021cohort2/vr/M3_D44_2021-12-06_15-34-55
245,3,45,openfield,Junji/Data/2021cohort2/openfield/M3_D45_2021-12-07_16-05-04
246,3,45,vr,Junji/Data/2021cohort2/vr/M3_D45_2021-12-07_15-29-26
247,3,46,openfield,Junji/Data/2021cohort2/openfield/M3_D46_2021-12-08_15-16-30
248,3,46,vr,Junji/Data/2021cohort2/vr/M3_D46_2021-12-08_14-42-27
249,3,47,openfield,Junji/Data/2021cohort2/openfield/M3_D47_2021-12-09_15-06-44
250,3,47,vr,Junji/Data/2021cohort2/vr/M3_D47_2021-12-09_14-31-14
251,3,48,openfield,Junji/Data/2021cohort2/openfield/M3_D48_2021-12-10_15-41-05
252,3,48,vr,Junji/Data/2021cohort2/vr/M3_D48_2021-12-10_15-05-14
253,4,1,openfield,Junji/Data/2021cohort2/openfield/M4_D11_2021-10-11_16-22-00
254,4,1,vr,Junji/Data/2021cohort2/vr/M4_D14_2021-10-14_15-11-19
255,4,2,openfield,Junji/Data/2021cohort2/openfield/M4_D24_2021-11-02_16-34-31
256,4,2,vr,Junji/Data/2021cohort2/vr/M4_D27_2021-11-05_15-42-05
257,4,3,openfield,Junji/Data/2021cohort2/openfield/M4_D39_2021-11-29_16-25-57
258,4,3,vr,Junji/Data/2021cohort2/vr/M4_D30_2021-11-16_15-04-40
259,4,4,openfield,Junji/Data/2021cohort2/openfield/M4_D48_2021-12-10_16-14-34
260,4,4,vr,Junji/Data/2021cohort2/vr/M4_D40_2021-11-30_16-30-41
261,4,5,openfield,Junji/Data/2021cohort2/openfield/M4_D5_2021-10-01_16-12-06
262,4,5,vr,Junji/Data/2021cohort2/vr/M4_D5_2021-10-01_15-35-21
263,4,6,openfield,Junji/Data/2021cohort2/openfield/M4_D6_2021-10-04_16-13-48
264,4,6,vr,Junji/Data/2021cohort2/vr/M4_D6_2021-10-04_15-36-09
265,4,7,openfield,Junji/Data/2021cohort2/openfield/M4_D7_2021-10-05_16-29-18
266,4,7,vr,Junji/Data/2021cohort2/vr/M4_D7_2021-10-05_15-53-05
267,4,8,openfield,Junji/Data/2021cohort2/openfield/M4_D8_2021-10-06_16-16-02
268,4,8,vr,Junji/Data/2021cohort2/vr/M4_D8_2021-10-06_15-39-29
269,4,9,openfield,Junji/Data/2021cohort2/openfield/M4_D9_2021-10-07_16-14-36
270,4,9,vr,Junji/Data/2021cohort2/vr/M4_D9_2021-10-07_15-38-50
271,4,10,openfield,Junji/Data/2021cohort2/openfield/M4_D10_2021-10-08_16-15-18
272,4,10,vr,Junji/Data/2021cohort2/vr/M4_D10_2021-10-08_15-39-50
273,4,11,openfield,Junji/Data/2021cohort2/openfield/M4_D11_2021-10-11_16-22-00
274,4,11,vr,Junji/Data/2021cohort2/vr/M4_D11_2021-10-11_15-43-45
275,4,12,openfield,Junji/Data/2021cohort2/openfield/M4_D12_2021-10-12_16-18-41
276,4,12,vr,Junji/Data/2021cohort2/vr/M4_D12_2021-10-12_15-43-11
277,4,13,openfield,Junji/Data/2021cohort2/openfield/M4_D13_2021-10-13_15-50-19
278,4,13,vr,Junji/Data/2021cohort2/vr/M4_D13_2021-10-13_15-16-07
279,4,14,openfield,Junji/Data/2021cohort2/openfield/M4_D14_2021-10-14_15-45-51
280,4,14,vr,Junji/Data/2021cohort2/vr/M4_D14_2021-10-14_15-11-19
281,4,15,openfield,Junji/Data/2021cohort2/openfield/M4_D15_2021-10-15_15-41-17
282,4,15,vr,Junji/Data/2021cohort2/vr/M4_D15_2021-10-15_15-07-08
283,4,16,openfield,Junji/Data/2021cohort2/openfield/M4_D16_2021-10-19_15-52-59
284,4,16,vr,Junji/Data/2021cohort2/vr/M4_D16_2021-10-19_15-17-49
285,4,17,openfield,Junji/Data/2021cohort2/openfield/M4_D17_2021-10-20_15-42-52
286,4,17,vr,Junji/Data/2021cohort2/vr/M4_D17_2021-10-20_15-06-54
287,4,18,openfield,Junji/Data/2021cohort2/openfield/M4_D18_2021-10-21_15-34-53
288,4,18,vr,Junji/Data/2021cohort2/vr/M4_D18_2021-10-21_14-59-39
289,4,19,openfield,Junji/Data/2021cohort2/openfield/M4_D19_2021-10-22_14-41-48
290,4,19,vr,Junji/Data/2021cohort2/vr/M4_D19_2021-10-22_14-07-04
291,4,20,openfield,Junji/Data/2021cohort2/openfield/M4_D20_2021-10-27_14-58-19
292,4,20,vr,Junji/Data/2021cohort2/vr/M4_D20_2021-10-27_14-23-22
293,4,21,openfield,Junji/Data/2021cohort2/openfield/M4_D21_2021-10-28_15-42-18
294,4,21,vr,Junji/Data/2021cohort2/vr/M4_D21_2021-10-28_15-06-18
295,4,22,openfield,Junji/Data/2021cohort2/openfield/M4_D22_2021-10-29_16-22-29
296,4,22,vr,Junji/Data/2021cohort2/vr/M4_D22_2021-10-29_15-46-59
297,4,23,openfield,Junji/Data/2021cohort2/openfield/M4_D23_2021-11-01_16-01-46
298,4,23,vr,Junji/Data/2021cohort2/vr/M4_D23_2021-11-01_15-24-04
299,4,24,openfield,Junji/Data/2021cohort2/openfield/M4_D24_2021-11-02_16-34-31
300,4,24,vr,Junji/Data/2021cohort2/vr/M4_D24_2021-11-02_15-59-31
301,4,25,openfield,Junji/Data/2021cohort2/openfield/M4_D25_2021-11-03_16-29-27
302,4,25,vr,Junji/Data/2021cohort2/vr/M4_D25_2021-11-03_15-54-36
